unit,year,semester,campus,mode,aspect_type,aspect,strong_agree,agree,neutral,disagree,strong_disagree,mean,median
FIT1033,2016,OCT,MA,DAY,U,1,5,9,1,0,0,4.27,4.22
FIT1033,2016,OCT,MA,DAY,U,2,4,10,1,0,0,4.20,4.15
FIT1033,2016,OCT,MA,DAY,U,3,9,5,1,0,0,4.53,4.67
FIT1033,2016,OCT,MA,DAY,U,4,4,8,2,0,0,4.14,4.13
FIT1033,2016,OCT,MA,DAY,U,5,4,8,2,0,0,4.14,4.13
FIT1033,2016,OCT,MA,DAY,U,6,5,8,2,0,0,4.20,4.19
FIT1033,2016,OCT,MA,DAY,U,7,6,9,0,0,0,4.40,4.33
FIT1033,2016,OCT,MA,DAY,U,8,6,8,1,0,0,4.33,4.31
FIT1033,2016,OCT,MA,DAY,F,1,0,9,0,0,0,4.40,4.33
FIT1033,2016,OCT,MA,DAY,F,2,0,7,2,0,0,3.93,4.14
FIT1033,2016,OCT,MA,DAY,F,3,0,6,7,0,1,3.40,3.43
FIT1033,2016,OCT,MA,DAY,F,4,0,6,1,0,0,4.47,4.56
FIT1033,2016,OCT,MA,DAY,F,5,0,6,3,0,0,3.53,3.92
FIT1045,2016,OCT,MA,DAY,U,1,4,15,1,0,0,4.15,4.10
FIT1045,2016,OCT,MA,DAY,U,2,4,11,3,1,0,3.95,4.00
FIT1045,2016,OCT,MA,DAY,U,3,4,14,2,0,0,4.10,4.07
FIT1045,2016,OCT,MA,DAY,U,4,3,12,5,0,0,3.90,3.92
FIT1045,2016,OCT,MA,DAY,U,5,6,9,5,0,0,4.05,4.06
FIT1045,2016,OCT,MA,DAY,U,6,6,10,3,0,0,4.16,4.15
FIT1045,2016,OCT,MA,DAY,U,7,8,9,3,0,0,4.25,4.28
FIT1045,2016,OCT,MA,DAY,U,8,5,11,4,0,0,4.05,4.05
FIT1045,2016,OCT,MA,DAY,F,1,0,11,2,1,0,4.10,4.14
FIT1045,2016,OCT,MA,DAY,F,2,0,10,6,0,0,3.65,3.80
FIT1045,2016,OCT,MA,DAY,F,3,0,12,4,1,0,3.85,3.92
FIT1045,2016,OCT,MA,DAY,F,4,0,8,4,1,0,4.05,4.13
FIT1045,2016,OCT,MA,DAY,F,5,0,8,6,0,0,3.75,3.88
FIT5057,2016,SSB,CA,DAY,U,1,16,20,3,0,0,4.33,4.33
FIT5057,2016,SSB,CA,DAY,U,2,14,14,9,2,0,4.03,4.11
FIT5057,2016,SSB,CA,DAY,U,3,15,20,3,1,0,4.26,4.28
FIT5057,2016,SSB,CA,DAY,U,4,16,16,6,1,0,4.21,4.28
FIT5057,2016,SSB,CA,DAY,U,5,14,20,2,2,0,4.21,4.25
FIT5057,2016,SSB,CA,DAY,U,6,18,16,4,1,0,4.31,4.41
FIT5057,2016,SSB,CA,DAY,U,7,22,14,3,0,0,4.49,4.61
FIT5057,2016,SSB,CA,DAY,U,8,15,18,5,1,0,4.21,4.25
FIT5057,2016,SSB,CA,DAY,F,1,0,18,1,0,0,4.49,4.53
FIT5057,2016,SSB,CA,DAY,F,2,0,14,8,2,0,4.08,4.18
FIT5057,2016,SSB,CA,DAY,F,3,0,18,7,1,0,4.10,4.14
FIT5057,2016,SSB,CA,DAY,F,4,0,13,5,0,1,4.31,4.53
FIT5057,2016,SSB,CA,DAY,F,5,0,14,4,5,0,4.05,4.25
FIT1008,2016,S2,CL,DAY,U,1,28,38,10,3,1,4.11,4.18
FIT1008,2016,S2,CL,DAY,U,2,20,32,17,9,2,3.74,3.88
FIT1008,2016,S2,CL,DAY,U,3,34,38,2,3,2,4.25,4.36
FIT1008,2016,S2,CL,DAY,U,4,24,31,11,8,2,3.88,4.05
