offering_id,faculty_full,link_fragment
ACF1200_CITY_DAY_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=26fc886b771aea8d0fa54055807b18d73616da6b6642f8a09155c4fea0a4832e4fd4827e2d559c7b28365300221a8d51&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF2100_CITY_DAY_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d501c37bb0fc0899e711bca42563ec4409251f6f3cd37f4c09d21f9c40d306ffea3e7e8f6f23075d0a11f5ebe654ec94&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF2200_CITY_DAY_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4341d59ba48acd7c3584f87455b5672b40db13f259b14651263c57a441c0ca43290e574bdb31a4b271ed9c7f9fef608d&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF2400_CITY_DAY_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8c2941d59c4c3dbc392413cdcf2a6c838f86475838a80ef136003258e5a9d6d800264a1f1cd889a3109519c490bec8be&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF3100_CITY_DAY_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5b5a0648c45524e20e20bc27823fb4ca5b08af8b479be3e84a8ae2d6b0afdad4c9a277d6f206a9ff7359afd90f45791a&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF3600_CITY_DAY_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a90ac3a469b809a3e4cca2fee21b64672fa4d18daa86ab59c5f9ad2ef41276249cb39ca8b5ca4ed27cf0c48d26fd2821&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF5268_ONLINE_MO_OFF_MO-TP6-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f074b99c43feb6d69ccf0aef9e0cfcef3c87ab41a673d96742115fafdc79b456493cb7f5605a6747f2538773168150a9&ReportType=2&regl=en-US&IsReportLandscape=False"
ACS2740_SAFRICA_BLOCK-ON_ON_SSB-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1258e6f09187ff1bc501ba554f64784e37e5eddcbf7a823572721c3a4523a8abf0dd85bc8214c6a8a54ab857e23f19b5&ReportType=2&regl=en-US&IsReportLandscape=False"
ACS3740_SAFRICA_BLOCK-ON_ON_SSB-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a4628a487c24c8ab034c529954332fc53357f03aad42428fa7fbef668ca432e6dbdc81d6865cada368fde83471ff5718&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1017_MALAYSIA_DAY_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=30ddf26fc24c33e036c011ac73beb028f33e7814995c184d8f13adaf015cdfe6582451233bf610748e7f027201f9338a&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1278_MALAYSIA_DAY_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c3c77382bd12a515b9c3fbaee0b7c3069928940c3c3632f47c583cb15e15d8769977f7757b0ab5c156edd4a82e2c9893&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1304_MALAYSIA_DAY_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f3a6147bc07987e9aa993402ff899ab86db0b33bf03766048d209849aaf50b112eab1e941e2adbb1d420cf1e25955885&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1309_MALAYSIA_DAY_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9879bc00d0984c463dfc651140dd849834a85cefaee66c2d9ddce07918113a418e13dc8fab13257704e5c58c4c5ca19c&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1326_MALAYSIA_DAY_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c70b62579b1774adb77d0cbd481e8a066e08d12a2aebc961da2728f6be9cbd2d5adcc20dfc2e06d97af8cd4274f77871&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1329_MALAYSIA_DAY_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=96751ee5aa62e7445fa72444da2d2a07d8c5d69564633724f75354dbce5cdf1266cec8d17123af14de5251fa18490b04&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU3744_MALAYSIA_ON-CAMPUS_ON_SSB-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2d2b7591779e8147c1fef08c4e84d5cf9de17fcaf29ce4f1ff8b79c8f58c657bb21cd28abc75207b0898d4b38d6928c2&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5044_CAULFIELD_FLEXIBLE_COMPOSITE_SSA-02,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=03d68c3bd15b39f089264b88c9bfc7b8ed90de2724bcdc01244f0aa5194fd8a975dd3a850d2d770ce8f1828c8197d3f2&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5044_CAULFIELD_FLEXIBLE_COMPOSITE_SSB-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f22d245136db0fac37e1d25e1c6e4d6abdd0e1a793d4134d4163178dd0faa68c2d53d3247c386f6f5d338a17693f7e91&ReportType=2&regl=en-US&IsReportLandscape=False"
