offering_id,faculty_full,link_fragment
ACB1020_PENINSULA_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2194e99da84c73642baa8347906f29d2f4db6ab77df285e98aa4c4f25b316eb73a9186e55835b804cbd9ed4836734e9b&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB1120_PENINSULA_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c9952a67c97dc5419a6ec3d76eeee6ede4d7d005e30054b611b206dca18604fb9b64f4616b0a85410dde0279b612e064&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB2120_PENINSULA_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=308ee32921214707b3bbdb651a096084dc1727f81b7f08250b98f5ee8e284d3f4686cd7a7b4bcf4716f672bd21b9ecd9&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB2220_PENINSULA_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=63fdfb1634fdbb3df1931c81acb27a3614638f6f326d184a5a9410bb72c1d9280576c83ed1b56804f9635dd9525911ad&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1100_CLAYTON_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=448226ad5741ad48a0525860f0a8d7b80757cd1af0b831a982d7f8b65bea6a470d9268e07ae803700f13dadf865d9db7&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1200_CLAYTON_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c7452da379ff3f74eaa5858cfaf86c82855e0de85ca9a6787eb95c272db73085137d0ab3564f1660adf98162c3b72bf1&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2100_CLAYTON_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b5d21853ea0b18007474de78d0f7afb3a0c78c74945d7f1b395fe038881326f8de9f4d1cc9a62aecd30bc666f26cc8fa&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2200_CLAYTON_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c28c7b3ff9f00dd65559df3528c4e56de85052a375d53591f640b3aed37e99e0329111abefc3e554e8723c849693639d&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2400_CLAYTON_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b8e5fc93def2c47f6618f61c7b50de6a10f275e4f87a812a246bef7ef823a883c1c17045787787d738727fd480ca14c1&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3100_CLAYTON_ON-CAMPUS_ON_S1-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cd7e661d2dabb41a169d0ff5bcb2ea3e0273232fdec102c107694bbe2ebc01203fb7a1379fc202805a9960ecd57625c8&ReportType=2&regl=en-US&IsReportLandscape=False"
