unit,year,semester,campus,mode,title,ce_email
FIT1033,2016,OCT,MA,DAY,Foundations of 3D,
FIT1045,2016,OCT,MA,DAY,Introduction to algorithms and programming,
FIT5057,2016,SSB,CA,DAY,Project management,
FIT1008,2016,S2,CL,DAY,Introduction to computer science,
FIT1008,2016,S2,MA,DAY,Introduction to computer science,
FIT1033,2016,S2,MA,DAY,Foundations of 3D,
FIT1045,2016,S2,CL,DAY,Introduction to algorithms and programming,
FIT1045,2016,S2,MA,DAY,Introduction to algorithms and programming,
FIT2073,2016,S2,CA,DAY,Game design studio 1,
FIT2073,2016,S2,CL,DAY,Game design studio 1,
FIT5057,2016,S2,CA,EVENING,Project management,
FIT5057,2016,S2,CA,ONLINE,Project management,
FIT5057,2016,S2,MA,EVENING,Project management,
FIT1033,2017,OCT,MA,DAY,Foundations of 3D,
FIT1045,2017,OCT,MA,DAY,Algorithms and programming fundamentals in python,
FIT5057,2017,SSB,CA,ON-CAMPUS,Project management,
FIT1008,2017,S1,CL,DAY,Introduction to computer science,
FIT1008,2017,S1,MA,DAY,Introduction to computer science,
FIT1033,2017,S1,CL,DAY,Foundations of 3D,
FIT1033,2017,S1,MA,DAY,Foundations of 3D,
FIT1045,2017,S1,CL,DAY,Algorithms and programming fundamentals in python,
FIT1045,2017,S1,MA,DAY,Algorithms and programming fundamentals in python,
FIT2096,2017,S1,CL,DAY,Games programming 1,
FIT5057,2017,S1,CA,DAY,Project management,
FIT5057,2017,S1,CA,ONLINE,Project management,
FIT1008,2017,S2,CL,DAY,Introduction to computer science,
FIT1008,2017,S2,MA,DAY,Introduction to computer science,
FIT1045,2017,S2,CL,DAY,Algorithms and programming fundamentals in python,
FIT1045,2017,S2,MA,DAY,Algorithms and programming fundamentals in python,
FIT2073,2017,S2,CL,DAY,Game design studio 1,
FIT5057,2017,S2,CA,EVENING,Project management,
FIT5057,2017,S2,CA,ONLINE,Project management,
FIT5057,2017,S2,MA,EVENING,Project management,
FIT1045,2018,OCT,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT5057,2018,SSB,CA,ON-CAMPUS,Project management,
FIT1008,2018,S1,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2018,S1,MA,ON-CAMPUS,Introduction to computer science,
FIT1033,2018,S1,CL,ON-CAMPUS,Foundations of 3D,
FIT1033,2018,S1,MA,ON-CAMPUS,Foundations of 3D,
FIT1045,2018,S1,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2018,S1,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1053,2018,S1,CL,ON-CAMPUS,Algorithms and programming in python (advanced),
FIT2096,2018,S1,CL,ON-CAMPUS,Games programming 1,
FIT5057,2018,S1,CA,ON-CAMPUS,Project management,
FIT5057,2018,S1,CA,ONLINE,,
FIT1008,2018,S2,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2018,S2,MA,ON-CAMPUS,Introduction to computer science,
FIT1045,2018,S2,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2018,S2,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1054,2018,S2,CL,ON-CAMPUS,Computer science (advanced),
FIT2073,2018,S2,CL,ON-CAMPUS,Game design studio 1,
FIT5057,2018,S2,CA,ON-CAMPUS,Project management,
FIT5057,2018,S2,MA,ON-CAMPUS,Project management,
FIT1045,2019,OCT,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT5057,2019,SSB,CA,ON-CAMPUS,Project management,
FIT1008,2019,S1,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2019,S1,MA,ON-CAMPUS,Introduction to computer science,
FIT1033,2019,S1,CL,ESP-EC,Foundations of 3D,
FIT1033,2019,S1,CL,ON-CAMPUS,Foundations of 3D,
FIT1045,2019,S1,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2019,S1,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1053,2019,S1,CL,ON-CAMPUS,Algorithms and programming in python (advanced),
FIT2096,2019,S1,CL,ON-CAMPUS,Games programming 1,
FIT5057,2019,S1,CA,ON-CAMPUS,Project management,
FIT1008,2019,S2,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2019,S2,MA,ON-CAMPUS,Introduction to computer science,
FIT1045,2019,S2,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2019,S2,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1054,2019,S2,CL,ON-CAMPUS,Computer science (advanced),
FIT2073,2019,S2,CL,ON-CAMPUS,Game design studio 1,
FIT5057,2019,S2,CA,ON-CAMPUS,Project management,
FIT5057,2019,S2,MA,ON-CAMPUS,Project management,
FIT1008,2020,NOV12,CL,ON-CAMPUS,Introduction to computer science,
FIT1045,2020,NOV12,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2020,OCT,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT5057,2020,SSB,CL,ON-CAMPUS,Project management,
FIT1008,2020,S1,CL,FLEXIBLE,Introduction to computer science,
FIT1008,2020,S1,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2020,S1,MA,ON-CAMPUS,Introduction to computer science,
FIT1033,2020,S1,CL,FLEXIBLE,Foundations of 3D,
FIT1033,2020,S1,CL,ON-CAMPUS,Foundations of 3D,
FIT1045,2020,S1,CL,FLEXIBLE,Algorithms and programming fundamentals in python,
FIT1045,2020,S1,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2020,S1,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1053,2020,S1,CL,FLEXIBLE,,
FIT1053,2020,S1,CL,ON-CAMPUS,Algorithms and programming in python (advanced),
FIT2096,2020,S1,CL,FLEXIBLE,Games programming 1,
FIT2096,2020,S1,CL,ON-CAMPUS,Games programming 1,
FIT5057,2020,S1,CL,FLEXIBLE,Project management,
FIT5057,2020,S1,CL,ON-CAMPUS,Project management,
FIT1008,2020,S2,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2020,S2,MA,ON-CAMPUS,Introduction to computer science,
FIT1045,2020,S2,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2020,S2,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1054,2020,S2,CL,ON-CAMPUS,Computer science (advanced),
FIT2073,2020,S2,CL,ON-CAMPUS,Game design studio 1,
FIT5057,2020,S2,CL,ON-CAMPUS,Project management,
FIT5057,2020,S2,MA,ON-CAMPUS,Project management,
FIT1008,2021,OCT12,CL,ON-CAMPUS,Introduction to computer science,
FIT1045,2021,OCT12,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2021,OCT,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT5057,2021,SSA,CL,ON-CAMPUS,Project management,
FIT1008,2021,S1,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2021,S1,MA,ON-CAMPUS,Introduction to computer science,
FIT1033,2021,S1,CL,ON-CAMPUS,Foundations of 3D,
FIT1045,2021,S1,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2021,S1,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1053,2021,S1,CL,ON-CAMPUS,Algorithms and programming in python (advanced),
FIT2096,2021,S1,CL,ON-CAMPUS,Games programming 1,
FIT5057,2021,S1,CL,ON-CAMPUS,Project management,
FIT1008,2021,S2,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2021,S2,MA,ON-CAMPUS,Introduction to computer science,
FIT1045,2021,S2,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2021,S2,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1054,2021,S2,CL,ON-CAMPUS,Computer science (advanced),
FIT2073,2021,S2,CL,ON-CAMPUS,Game design studio 1,
FIT5057,2021,S2,CL,ON-CAMPUS,Project management,
FIT5057,2021,S2,MA,ON-CAMPUS,Project management,
FIT1008,2022,NOV12,CL,ON-CAMPUS,Introduction to computer science,
FIT1045,2022,OCT,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT5057,2022,SSB,CL,ON-CAMPUS,Project management,
FIT1008,2022,S1,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2022,S1,MA,ON-CAMPUS,Introduction to computer science,
FIT1033,2022,S1,CL,ON-CAMPUS,Foundations of 3D,
FIT1045,2022,S1,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2022,S1,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1053,2022,S1,CL,ON-CAMPUS,Algorithms and programming in python (advanced),
FIT2096,2022,S1,CL,ON-CAMPUS,Games programming 1,
FIT5057,2022,S1,CL,ON-CAMPUS,Project management,
FIT1008,2022,S2,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2022,S2,MA,ON-CAMPUS,Introduction to computer science,
FIT1045,2022,S2,CL,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1045,2022,S2,MA,ON-CAMPUS,Algorithms and programming fundamentals in python,
FIT1054,2022,S2,CL,ON-CAMPUS,Computer science (advanced),
FIT2073,2022,S2,CL,ON-CAMPUS,Game design studio 1,
FIT5057,2022,S2,CL,ON-CAMPUS,Project management,
FIT5057,2022,S2,MA,ON-CAMPUS,Project management,
FIT1008,2023,S1,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2023,S1,MA,ON-CAMPUS,Introduction to computer science,
FIT1045,2023,S1,CL,ON-CAMPUS,Introduction to programming,
FIT1045,2023,S1,MA,ON-CAMPUS,Introduction to programming,
FIT1053,2023,S1,CL,ON-CAMPUS,Algorithms and programming in python: Advanced,
FIT1073,2023,S1,CL,ON-CAMPUS,Game design,
FIT2073,2023,S1,CL,ON-CAMPUS,Game design studio 1,
FIT2096,2023,S1,CL,ON-CAMPUS,Games programming 1,
FIT5057,2023,S1,CL,ON-CAMPUS,Project management,
FIT1008,2023,S2,CL,ON-CAMPUS,Introduction to computer science,
FIT1008,2023,S2,MA,ON-CAMPUS,Introduction to computer science,
FIT1033,2023,S2,CL,ON-CAMPUS,Foundations of 3D,
FIT1045,2023,S2,CL,ON-CAMPUS,Introduction to programming,
FIT1045,2023,S2,MA,ON-CAMPUS,Introduction to programming,
FIT1054,2023,S2,CL,ON-CAMPUS,Computer science (Advanced),
FIT5057,2023,S2,CL,ON-CAMPUS,Project management,
FIT5057,2023,S2,MA,ON-CAMPUS,Project management,
